Query,Threads,Solutions,FirstTime,TotalTime,Status
16v,16,99575 0 298.864 TIMEOUT
16v,32,116369 0 298.47 TIMEOUT
16v,48,299371 0 298.795 TIMEOUT
16v,64,268433 0 298.787 TIMEOUT
24v,16,18893 0.696436 138.961
24v,32,18894 0.737264 193.702
24v,48,18894 0.717811 199.127
24v,64,18892 0.776512 66.536
32v,16,5679 25.3651 99.6393
32v,32,5678 28.1445 133.581
32v,48,5678 31.4682 139.617
32v,64,5678 18.827 143.537
8v,16,302352 0 298.48 TIMEOUT
8v,32,657685 0 298.559 TIMEOUT
8v,48,1004625 0 298.812 TIMEOUT
8v,64,924237 0 298.748 TIMEOUT
