Dataset,Type,Size,Threads,TimeLimit_s,Time_s,Count,Status,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults
lj,sparse,8,1,90,.009840072,0,SUCCESS,3792,83,3,252
lj,sparse,8,4,90,.010434806,0,SUCCESS,3880,80,3,253
lj,sparse,8,8,90,.010408577,0,SUCCESS,3996,80,3,252
lj,sparse,8,16,90,.010423126,0,SUCCESS,3928,100,3,251
lj,sparse,8,32,90,.010442191,0,SUCCESS,3936,100,3,251
lj,sparse,8,48,90,.010477386,0,SUCCESS,3980,100,3,254
lj,sparse,8,64,90,.010351230,0,SUCCESS,3912,80,3,253
lj,sparse,16,1,90,.010401732,0,SUCCESS,3920,80,3,254
lj,sparse,16,4,90,.010268674,0,SUCCESS,3948,100,3,251
lj,sparse,16,8,90,.010338454,0,SUCCESS,3944,100,3,249
lj,sparse,16,16,90,.010258148,0,SUCCESS,3852,80,3,250
lj,sparse,16,32,90,.010330866,0,SUCCESS,3984,80,3,251
lj,sparse,16,48,90,.010432463,0,SUCCESS,3796,100,3,248
lj,sparse,16,64,90,.010329898,0,SUCCESS,3996,80,3,253
lj,sparse,24,1,90,.010424235,0,SUCCESS,3880,80,3,253
lj,sparse,24,4,90,.010468541,0,SUCCESS,3948,100,3,253
lj,sparse,24,8,90,.010239071,0,SUCCESS,3912,80,3,250
lj,sparse,24,16,90,.010402610,0,SUCCESS,3852,100,3,253
lj,sparse,24,32,90,.010364130,0,SUCCESS,3928,100,3,256
lj,sparse,24,48,90,.010544558,0,SUCCESS,3920,80,3,252
lj,sparse,24,64,90,.010072012,0,SUCCESS,3848,80,3,251
lj,sparse,32,1,90,.010720843,0,SUCCESS,3912,83,3,249
lj,sparse,32,4,90,.010371887,0,SUCCESS,3796,80,3,256
lj,sparse,32,8,90,.010418687,0,SUCCESS,3924,100,3,254
lj,sparse,32,16,90,.010338634,0,SUCCESS,3920,100,3,247
lj,sparse,32,32,90,.010107134,0,SUCCESS,3912,100,3,248
lj,sparse,32,48,90,.010377510,0,SUCCESS,3912,80,3,253
lj,sparse,32,64,90,.010252486,0,SUCCESS,3940,80,3,255
lj,dense,8,1,90,.010331394,0,SUCCESS,3928,100,3,252
lj,dense,8,4,90,.010291822,0,SUCCESS,3920,100,3,249
lj,dense,8,8,90,.010470057,0,SUCCESS,3920,80,3,252
lj,dense,8,16,90,.010370733,0,SUCCESS,3980,80,3,253
lj,dense,8,32,90,.010260222,0,SUCCESS,3944,100,3,252
lj,dense,8,48,90,.010351642,0,SUCCESS,3928,80,3,255
lj,dense,8,64,90,.010328029,0,SUCCESS,3952,80,3,250
lj,dense,16,1,90,.010283293,0,SUCCESS,3924,80,3,252
lj,dense,16,4,90,.010277318,0,SUCCESS,3980,100,3,251
lj,dense,16,8,90,.011148045,0,SUCCESS,3980,66,4,248
lj,dense,16,16,90,.010327559,0,SUCCESS,3792,100,3,251
lj,dense,16,32,90,.010252571,0,SUCCESS,3796,80,3,254
lj,dense,16,48,90,.010199450,0,SUCCESS,3880,80,3,251
lj,dense,16,64,90,.010321452,0,SUCCESS,3980,100,3,248
lj,dense,24,1,90,.010222984,0,SUCCESS,3932,100,3,252
lj,dense,24,4,90,.010476844,0,SUCCESS,3928,80,3,254
lj,dense,24,8,90,.010470732,0,SUCCESS,3796,80,3,250
lj,dense,24,16,90,.010394871,0,SUCCESS,3884,80,3,253
lj,dense,24,32,90,.010388837,0,SUCCESS,3928,100,3,253
lj,dense,24,48,90,.010261745,0,SUCCESS,3884,80,3,255
lj,dense,24,64,90,.010370434,0,SUCCESS,3916,80,3,249
lj,dense,32,1,90,.010427624,0,SUCCESS,3984,80,3,254
lj,dense,32,4,90,.010444185,0,SUCCESS,3920,100,3,254
lj,dense,32,8,90,.010298670,0,SUCCESS,3928,100,3,252
lj,dense,32,16,90,.010354821,0,SUCCESS,3884,80,3,252
lj,dense,32,32,90,.010415885,0,SUCCESS,3912,100,3,250
lj,dense,32,48,90,.010401850,0,SUCCESS,3952,100,3,251
lj,dense,32,64,90,.010421011,0,SUCCESS,3984,100,3,250
