Algorithm,Type,Size,Threads,Cycles,Instructions,IPC,CacheMisses,BranchMisses,ContextSwitches
vf3pdl,sparse,8,1,3639208,5203918,1.429,7712,25912,1
vf3pdl,sparse,8,4,3776235,5389271,1.427,12057,26292,1
vf3pdl,sparse,8,8,3442310,4696402,1.364,3942,25182,1
vf3pdl,sparse,8,16,3444964,4717399,1.369,4624,24910,1
vf3pdl,sparse,8,32,3412442,4671906,1.369,4715,24745,1
vf3pdl,sparse,8,48,3777118,5318261,1.408,16804,26412,1
vf3pdl,sparse,8,64,3938883,5579949,1.416,23895,26619,1
vf3pdl,sparse,16,1,3465658,4709620,1.358,8940,25150,1
vf3pdl,sparse,16,4,3548167,4697008,1.323,12183,24716,1
vf3pdl,sparse,16,8,3708371,5301185,1.429,12656,26158,1
vf3pdl,sparse,16,16,3653373,5193616,1.421,10730,26353,1
vf3pdl,sparse,16,32,3438856,4726035,1.374,4580,25034,1
vf3pdl,sparse,16,48,3623125,5178888,1.429,8824,25937,1
vf3pdl,sparse,16,64,3424939,4700710,1.372,4142,24897,1
vf3pdl,sparse,24,1,3853482,5652746,1.466,17596,26124,1
vf3pdl,sparse,24,4,3883694,5440388,1.400,15580,26896,1
vf3pdl,sparse,24,8,3670574,5309505,1.446,10350,25847,1
vf3pdl,sparse,24,16,3446522,4737400,1.374,4204,24869,1
vf3pdl,sparse,24,32,3710829,5389237,1.452,11593,26213,1
vf3pdl,sparse,24,48,3686400,5323851,1.444,8840,26110,1
vf3pdl,sparse,24,64,3659379,5278094,1.442,9146,25817,1
vf3pdl,sparse,32,1,3826051,5376556,1.405,13599,26046,1
vf3pdl,sparse,32,4,3809963,5459405,1.432,13818,26218,1
vf3pdl,sparse,32,8,3621959,5231263,1.444,7832,26050,1
vf3pdl,sparse,32,16,3430130,4734692,1.380,4692,24949,1
vf3pdl,sparse,32,32,3440816,4761285,1.383,4415,24912,1
vf3pdl,sparse,32,48,3524518,4940273,1.401,6285,25637,1
vf3pdl,sparse,32,64,3722581,5361380,1.440,10846,26055,1
vf3pdl,dense,8,1,3443034,4692162,1.362,9111,24938,1
vf3pdl,dense,8,4,3519781,4715606,1.339,8517,24885,1
vf3pdl,dense,8,8,3438680,4711334,1.370,4254,25242,1
vf3pdl,dense,8,16,3443092,4745485,1.378,4988,25030,1
vf3pdl,dense,8,32,3645520,5236177,1.436,9394,26180,1
vf3pdl,dense,8,48,4104050,5368139,1.308,17272,26186,1
vf3pdl,dense,8,64,3532034,4711849,1.334,11363,25088,1
vf3pdl,dense,16,1,3672564,5100327,1.388,11924,25919,1
vf3pdl,dense,16,4,3539198,4700909,1.328,11612,25089,1
vf3pdl,dense,16,8,3468971,4722394,1.361,5524,25101,1
vf3pdl,dense,16,16,3434634,4718211,1.373,4922,24987,1
vf3pdl,dense,16,32,3456543,4716105,1.364,4361,25180,1
vf3pdl,dense,16,48,4041288,5798628,1.434,25242,26998,1
vf3pdl,dense,16,64,3439062,4681158,1.361,6580,24860,1
vf3pdl,dense,24,1,3569631,4978505,1.394,7108,25926,1
vf3pdl,dense,24,4,3563444,4799958,1.346,7982,25254,1
vf3pdl,dense,24,8,3445298,4759499,1.381,5066,25075,1
vf3pdl,dense,24,16,3708349,5307434,1.431,9603,26745,1
vf3pdl,dense,24,32,3718148,5349857,1.438,11473,26926,1
vf3pdl,dense,24,48,3648675,5232875,1.434,8119,26174,1
vf3pdl,dense,24,64,3787845,5503978,1.453,13407,26640,1
vf3pdl,dense,32,1,3741360,5375572,1.436,9652,26314,1
vf3pdl,dense,32,4,3975396,5659007,1.423,18096,26801,1
vf3pdl,dense,32,8,3585707,5113558,1.426,5593,25776,1
vf3pdl,dense,32,16,3691170,5313755,1.439,8383,26158,1
vf3pdl,dense,32,32,3651272,5331282,1.460,8396,26170,1
vf3pdl,dense,32,48,3656660,5318573,1.454,7603,26218,1
vf3pdl,dense,32,64,3483095,4784022,1.373,7727,25082,1
