Algorithm,Type,Size,Threads,Cycles,Instructions,IPC,CacheMisses,BranchMisses,ContextSwitches
vf3pdl,sparse,8,1,3738716,5404816,1.445,8850,26426,1
vf3pdl,sparse,8,4,3520074,4748218,1.348,5627,25027,1
vf3pdl,sparse,8,8,4019608,5910859,1.470,17873,26568,1
vf3pdl,sparse,8,16,3755981,5486020,1.460,10435,25853,1
vf3pdl,sparse,8,32,3978814,5634533,1.416,17523,26625,1
vf3pdl,sparse,8,48,3557836,4926551,1.384,8959,25542,1
vf3pdl,sparse,8,64,3465850,4714573,1.360,4052,24779,1
vf3pdl,sparse,16,1,3496478,4753840,1.359,4755,24949,1
vf3pdl,sparse,16,4,3471930,4746770,1.367,4506,24961,1
vf3pdl,sparse,16,8,3506754,4757950,1.356,5430,25000,1
vf3pdl,sparse,16,16,3900790,5643576,1.446,15562,26446,1
vf3pdl,sparse,16,32,3774273,5412239,1.433,11979,26278,1
vf3pdl,sparse,16,48,3563682,4904426,1.376,7059,25871,1
vf3pdl,sparse,16,64,3713612,5305693,1.428,11233,25941,1
vf3pdl,sparse,24,1,3758424,5357604,1.425,11185,26217,1
vf3pdl,sparse,24,4,3762574,5345669,1.420,9810,26458,1
vf3pdl,sparse,24,8,3774162,5518207,1.462,11262,26387,1
vf3pdl,sparse,24,16,3730415,5343450,1.432,9592,26029,1
vf3pdl,sparse,24,32,3760496,5406513,1.437,12147,26084,1
vf3pdl,sparse,24,48,3800034,5468680,1.439,10986,26182,1
vf3pdl,sparse,24,64,3669617,5315858,1.448,8191,25949,1
vf3pdl,sparse,32,1,3739147,5397533,1.443,9440,26298,1
vf3pdl,sparse,32,4,3653215,5308357,1.453,7002,26010,1
vf3pdl,sparse,32,8,3526344,4787079,1.357,8340,24756,1
vf3pdl,sparse,32,16,3732577,5350815,1.433,12550,25633,1
vf3pdl,sparse,32,32,3837105,5513818,1.436,13107,26292,1
vf3pdl,sparse,32,48,3481878,4765112,1.368,6226,24939,1
vf3pdl,sparse,32,64,3459964,4769230,1.378,3907,24707,1
vf3pdl,dense,8,1,3501195,4846257,1.384,6459,25359,1
vf3pdl,dense,8,4,3651720,5185533,1.420,10087,25753,1
vf3pdl,dense,8,8,3823567,5437599,1.422,13391,26459,1
vf3pdl,dense,8,16,3958848,5681619,1.435,14672,26437,1
vf3pdl,dense,8,32,3785635,5456294,1.441,12077,26098,1
vf3pdl,dense,8,48,3568455,4746690,1.330,9196,25190,2
vf3pdl,dense,8,64,3461491,4726568,1.365,4950,25066,1
vf3pdl,dense,16,1,3525652,4759291,1.349,6128,25345,1
vf3pdl,dense,16,4,3449084,4757736,1.379,4412,24828,1
vf3pdl,dense,16,8,3911774,5546712,1.417,16455,26418,1
vf3pdl,dense,16,16,3790338,5358156,1.413,11030,26094,1
vf3pdl,dense,16,32,3842443,5480350,1.426,12494,26285,1
vf3pdl,dense,16,48,3721119,5296339,1.423,9036,26231,1
vf3pdl,dense,16,64,3662067,5159210,1.408,7997,25750,1
vf3pdl,dense,24,1,3767759,5464876,1.450,10133,26164,1
vf3pdl,dense,24,4,3700981,5307380,1.434,9402,26221,1
vf3pdl,dense,24,8,3550549,4923391,1.386,4844,25497,1
vf3pdl,dense,24,16,3760622,5389623,1.433,9421,26057,1
vf3pdl,dense,24,32,3613832,5107520,1.413,7552,26002,1
vf3pdl,dense,24,48,3781551,5413159,1.431,9271,26375,1
vf3pdl,dense,24,64,3598880,5023378,1.395,5784,25809,1
vf3pdl,dense,32,1,3738963,5356787,1.432,9509,26119,1
vf3pdl,dense,32,4,3730474,5350731,1.434,9533,26158,1
vf3pdl,dense,32,8,3974214,5740775,1.444,16854,26688,1
vf3pdl,dense,32,16,3787749,5385827,1.421,12379,26241,1
vf3pdl,dense,32,32,3823432,5495981,1.437,9568,26448,1
vf3pdl,dense,32,48,3884267,5590834,1.439,12237,26605,1
vf3pdl,dense,32,64,3764589,5395199,1.433,10712,26260,1
