Algorithm,Type,Size,Threads,Cycles,Instructions,IPC,CacheMisses,BranchMisses,ContextSwitches
vf3pdl,sparse,8,1,104843207229,72166798578,.688,413053122,24947840,89
vf3pdl,sparse,8,4,389838924622,229871184768,.589,30282975,248193200,263212
vf3pdl,sparse,8,8,713665251122,236717012627,.331,556729402,309888763,4024232
vf3pdl,sparse,8,16,1443017426773,286380264673,.198,881187634,241451939,3509740
vf3pdl,sparse,8,32,2941603969573,420122380435,.142,946308285,263758106,4346868
vf3pdl,sparse,8,48,4352485794773,537801368596,.123,897428626,279339411,4700107
vf3pdl,sparse,8,64,5770037777892,623360706199,.108,923189528,344597795,9763085
vf3pdl,sparse,16,1,104824358519,72123997444,.688,425767815,24872474,73
vf3pdl,sparse,16,4,383376493201,240270055100,.626,31092322,255581533,232625
vf3pdl,sparse,16,8,693706245886,225855978421,.325,509635544,360242895,4936922
vf3pdl,sparse,16,16,1425081851061,275308610814,.193,988318076,241500296,3539100
vf3pdl,sparse,16,32,2865392703790,406237353944,.141,844321368,252914996,3870710
vf3pdl,sparse,16,48,4346487014450,533335923669,.122,991525030,267522431,4153561
vf3pdl,sparse,16,64,5776954421165,618153133449,.107,896562275,331054582,9309503
vf3pdl,sparse,24,1,104725376534,72529455602,.692,415202453,25050087,79
vf3pdl,sparse,24,4,381704438332,248819213525,.651,32406686,252925513,307390
vf3pdl,sparse,24,8,621566855560,242424403167,.390,547747407,459280886,11664996
vf3pdl,sparse,24,16,1318133302956,281238576837,.213,1129595263,352329852,10957923
vf3pdl,sparse,24,32,2791995519425,405804768864,.145,1074217255,334800824,9746972
vf3pdl,sparse,24,48,4176423547800,517835724553,.123,1082307296,345530327,10695016
vf3pdl,sparse,24,64,5843263849812,622553363359,.106,784215697,280166676,4608754
vf3pdl,sparse,32,1,104750170078,72270044036,.689,427352058,25028920,72
vf3pdl,sparse,32,4,381500516678,242547674048,.635,31521383,267795984,321537
vf3pdl,sparse,32,8,691333088550,222448808759,.321,710159636,304206293,4224186
vf3pdl,sparse,32,16,1433808176125,287545806158,.200,977385251,260743374,4120791
vf3pdl,sparse,32,32,2902908973932,412296386743,.142,981605151,261048194,4091652
vf3pdl,sparse,32,48,4355042212234,536350234802,.123,859671281,257144822,3920112
vf3pdl,sparse,32,64,5842172332392,621819113606,.106,780280464,280402537,4515239
vf3pdl,dense,8,1,104767952229,72372291712,.690,418535716,25094059,77
vf3pdl,dense,8,4,378545635752,221879596704,.586,2689026295,56112028,57247
vf3pdl,dense,8,8,694543372753,338229684216,.486,5501517350,83714312,205961
vf3pdl,dense,8,16,1186890510586,438964746884,.369,9638923752,112964755,506441
vf3pdl,dense,8,32,833858658377,326920851153,.392,11922723521,178243043,653412
vf3pdl,dense,8,48,954123231030,257967098289,.270,9990498186,208977574,816606
vf3pdl,dense,8,64,1303715787337,286044243876,.219,12492392295,243227751,1044042
vf3pdl,dense,16,1,100693286248,67490080104,.670,390056692,23716606,69
vf3pdl,dense,16,4,380797802664,222252702051,.583,2735425944,55643689,55880
vf3pdl,dense,16,8,693707264423,352794049269,.508,5794886489,87938970,224188
vf3pdl,dense,16,16,1114049579997,427615407092,.383,9561478378,110547371,512818
vf3pdl,dense,16,32,757302412261,301400738543,.397,10678630931,162208013,683572
vf3pdl,dense,16,48,991860154100,286307139272,.288,12786286261,205841866,951392
vf3pdl,dense,16,64,1177470262133,258579527896,.219,11107258733,236221880,1007883
vf3pdl,dense,24,1,100133248998,67242337928,.671,393539804,23651901,79
vf3pdl,dense,24,4,380711220972,220204092716,.578,2754213776,55678566,61025
vf3pdl,dense,24,8,693544735044,354034161163,.510,6098250474,95829722,221933
vf3pdl,dense,24,16,1160633502711,431681118419,.371,9740377564,111743348,491146
vf3pdl,dense,24,32,783650815027,298619465166,.381,10674604008,172457720,605240
vf3pdl,dense,24,48,1057543945107,280889084397,.265,11374166600,212240639,789549
vf3pdl,dense,24,64,4777316799801,751943837787,.157,43066243577,243965807,2466584
vf3pdl,dense,32,1,104811829805,70974429583,.677,479875445,24776462,92
vf3pdl,dense,32,4,378904954178,219412613095,.579,2773098591,56094665,56108
vf3pdl,dense,32,8,693534029359,355691066176,.512,6093929168,88015644,215525
vf3pdl,dense,32,16,1102374106077,428337471520,.388,10004221127,110515300,473940
vf3pdl,dense,32,32,925124864713,347403876589,.375,13474641930,174313506,683511
vf3pdl,dense,32,48,1323315969742,365004725503,.275,19353008508,206960309,1033802
vf3pdl,dense,32,64,4736424720980,692305316368,.146,36176940990,235406181,2691533
