Dataset,Type,Size,Threads,TimeLimit_s,Time_s,Count,Status,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults
roadnet,sparse,8,1,90,87.8681,0,TIMEOUT,147181284,100,8,36823850
roadnet,sparse,8,4,90,87.8661,0,TIMEOUT,1147860,390,1126912,372379
roadnet,sparse,8,8,90,87.9155,0,TIMEOUT,1147912,756,12415159,380446
roadnet,sparse,8,16,90,87.878,0,TIMEOUT,1147888,1535,12259512,373495
roadnet,sparse,8,32,90,87.7261,0,TIMEOUT,1147820,3090,13480170,371266
roadnet,sparse,8,48,90,88.0831,0,TIMEOUT,1147800,4666,13495975,364563
roadnet,sparse,8,64,90,88.0944,0,TIMEOUT,1147912,6189,28852880,404381
roadnet,sparse,16,1,90,88.2416,0,TIMEOUT,133952948,100,7,33514637
roadnet,sparse,16,4,90,87.9375,0,TIMEOUT,1147840,391,717263,369302
roadnet,sparse,16,8,90,87.595,0,TIMEOUT,1147888,753,11484120,397759
roadnet,sparse,16,16,90,87.7385,0,TIMEOUT,1147860,1534,11673809,364813
roadnet,sparse,16,32,90,88.2192,0,TIMEOUT,1147796,3105,12186948,366305
roadnet,sparse,16,48,90,87.5894,0,TIMEOUT,1147888,4641,13145913,412373
roadnet,sparse,16,64,90,88.0822,0,TIMEOUT,1147856,6191,27707984,385528
roadnet,sparse,24,1,90,88.2324,0,TIMEOUT,197593676,100,7,49431123
roadnet,sparse,24,4,90,87.8399,0,TIMEOUT,1147912,390,635287,408037
roadnet,sparse,24,8,90,87.8402,0,TIMEOUT,1147892,719,30047624,410471
roadnet,sparse,24,16,90,87.8775,0,TIMEOUT,1147860,1485,33020102,423376
roadnet,sparse,24,32,90,87.8722,0,TIMEOUT,1147868,3044,30788808,432962
roadnet,sparse,24,48,90,87.6538,0,TIMEOUT,1147856,4590,33809885,418700
roadnet,sparse,24,64,90,88.0645,0,TIMEOUT,1147824,6222,15642645,504493
roadnet,sparse,32,1,90,88.2035,0,TIMEOUT,196856660,100,7,49241395
roadnet,sparse,32,4,90,87.8699,0,TIMEOUT,1147888,390,693937,373618
roadnet,sparse,32,8,90,87.8405,0,TIMEOUT,1147872,758,13278622,371010
roadnet,sparse,32,16,90,87.8476,0,TIMEOUT,1147800,1537,11546250,390398
roadnet,sparse,32,32,90,87.862,0,TIMEOUT,1147816,3091,12676758,375984
roadnet,sparse,32,48,90,87.6388,0,TIMEOUT,1147888,4645,12085069,368564
roadnet,sparse,32,64,90,88.0655,0,TIMEOUT,1147800,6227,13122391,369529
roadnet,dense,8,1,90,88.0748,0,TIMEOUT,193703980,100,7,48458435
roadnet,dense,8,4,90,87.6624,27170,TIMEOUT,264675176,360,162905,130764172
roadnet,dense,8,8,90,87.7357,58225,TIMEOUT,297745072,672,660256,214912052
roadnet,dense,8,16,90,87.7052,101535,TIMEOUT,277570240,1181,1961373,300283715
roadnet,dense,8,32,90,87.7528,101948,TIMEOUT,117349468,1966,2938553,234981222
roadnet,dense,8,48,0,,,SUCCESS,371934692,2942,30274778,1648848070
roadnet,dense,8,64,0,,,SUCCESS,357757700,3702,32226733,1326976064
roadnet,dense,16,1,90,87.8175,0,TIMEOUT,196976140,99,36,49273223
roadnet,dense,16,4,90,87.7442,7844,TIMEOUT,280069944,358,176291,138680340
roadnet,dense,16,8,90,87.8765,14996,TIMEOUT,297717376,656,734593,225680694
roadnet,dense,16,16,90,87.7658,23666,TIMEOUT,216980616,1133,1730225,255558286
roadnet,dense,16,32,90,87.7131,15814,TIMEOUT,58205024,1863,2027603,149506574
roadnet,dense,16,48,0,,,SUCCESS,357873432,2787,22339022,1142196655
roadnet,dense,16,64,0,,,SUCCESS,357379872,3649,34312656,1305841310
roadnet,dense,24,1,90,87.8138,0,TIMEOUT,194293600,99,36,48605975
roadnet,dense,24,4,90,87.5554,0,TIMEOUT,325056072,351,170534,129191716
roadnet,dense,24,8,90,,87.769,SUCCESS,330125588,654,688280,212001045
roadnet,dense,24,16,90,87.7837,0,TIMEOUT,223447300,1162,1720898,268443753
roadnet,dense,24,32,90,87.7683,0,TIMEOUT,54876636,1899,2070011,163753210
roadnet,dense,24,48,0,,,SUCCESS,356794560,2841,20782409,1072359107
roadnet,dense,24,64,0,,,SUCCESS,355590960,3703,41151781,1598149091
roadnet,dense,32,1,90,87.8241,0,TIMEOUT,194677236,99,36,48703646
roadnet,dense,32,4,90,87.585,0,TIMEOUT,274539000,359,173455,134442675
roadnet,dense,32,8,90,87.7516,0,TIMEOUT,213192728,667,638760,202683106
roadnet,dense,32,16,90,88.223,0,TIMEOUT,148268092,1154,1655355,257667080
roadnet,dense,32,32,90,87.7126,0,TIMEOUT,36208016,1902,1992964,147761066
roadnet,dense,32,48,0,,,SUCCESS,355214456,2856,24197177,1226547301
roadnet,dense,32,64,0,569.313,2,SUCCESS,5502420,6199,48243732,362411485
